Step Number,Energy per particle,Pressure
0, -5.228319605180141, 8.216233986011789
1000, -5.299558565877996, 7.949001176591095
2000, -5.310057208168334, 7.866214224930353
3000, -5.358392922501487, 7.630405369722085
4000, -5.368621562356582, 7.566506821685294
5000, -5.342605113529981, 7.63801241326351
6000, -5.400227224575294, 7.411364291850328
7000, -5.314080908677355, 7.7762838765890825
8000, -5.378976253793483, 7.521747532343806
9000, -5.466060056590307, 7.153533972707685
10000, -5.51641552653909, 6.888661840986632
11000, -5.494202144004123, 7.000642695313078
12000, -5.460896059815415, 7.124747758105491
13000, -5.532489335545417, 6.870761206122131
14000, -5.537975478637911, 6.836525143579354
15000, -5.518471689036949, 6.891033882514663
16000, -5.527660511694167, 6.800229887509818
17000, -5.541508531773257, 6.755255718664393
18000, -5.54555571975036, 6.7086906372916415
19000, -5.612340335061652, 6.4680879853822555
20000, -5.534873975979482, 6.815234051233965
21000, -5.474381376196803, 7.084592024127246
22000, -5.492299671579495, 6.985493092854252
23000, -5.51973790006752, 6.85594324853977
24000, -5.518532474366766, 6.9104756207639
25000, -5.565723881577527, 6.647274265241314
26000, -5.60928254067599, 6.381672747492947
27000, -5.5310082276457315, 6.791381958794486
28000, -5.524891248964246, 6.821882381431678
29000, -5.472741274343336, 7.076460555965404
30000, -5.407782052138697, 7.482719727015074
31000, -5.391701172785266, 7.530510132577091
32000, -5.357464528894497, 7.628920927995062
33000, -5.508367803975835, 6.8920566952713465
34000, -5.477433185279184, 7.095708163481791
35000, -5.454348247911502, 7.1291885855649655
36000, -5.495923437467171, 7.029074214306127
37000, -5.466153625979895, 7.1993935696161335
38000, -5.456438463421099, 7.202236068005857
39000, -5.418369735127633, 7.3754767012539455
40000, -5.360889062117762, 7.6489161266353
41000, -5.3798049082437265, 7.556019483285009
42000, -5.434054837698055, 7.2806974691315505
43000, -5.4400334897239935, 7.255971882480497
44000, -5.457366326892722, 7.125960654004357
45000, -5.444062287992599, 7.175156761714466
46000, -5.4154838539597865, 7.335320871817797
47000, -5.50255462254759, 6.938943307936656
48000, -5.444965237224031, 7.134742368698487
49000, -5.491601547367104, 6.949205431554846
50000, -5.516363015342154, 6.884310501192446
51000, -5.4623614976857695, 7.089337299525594
52000, -5.470773627422301, 7.06763043176703
53000, -5.452447313199102, 7.155619245439785
54000, -5.416203332055888, 7.3009000020754256
55000, -5.490940821197292, 7.0102403767499375
56000, -5.426976939211861, 7.360249121360677
57000, -5.474538532922609, 7.085826175406599
58000, -5.498674611413861, 6.9912370971067155
59000, -5.489870687710619, 6.983015729564722
60000, -5.500214148997575, 6.919492943185918
61000, -5.51151255620498, 6.864395556289833
62000, -5.540212488376668, 6.744535543241397
63000, -5.627926996555901, 6.3775234885290155
64000, -5.621397424030609, 6.416263877041477
65000, -5.6345284163700935, 6.307436300161172
66000, -5.616270737712519, 6.461682141051464
67000, -5.624351163708802, 6.429305188184994
68000, -5.561094017790124, 6.6851611491899465
69000, -5.525259247655901, 6.889096447800449
70000, -5.5287650799513965, 6.888521817512312
71000, -5.534404159756219, 6.77129884806283
72000, -5.599188829805902, 6.403816912974652
73000, -5.628654068145854, 6.3322799919012125
74000, -5.588932428812365, 6.519889512359373
75000, -5.642461304843826, 6.252281154101834
76000, -5.5628333784979755, 6.610734569388
77000, -5.517576695447966, 6.84646004969791
78000, -5.467111598658754, 7.0672978347162365
79000, -5.442411639169476, 7.238344455120465
80000, -5.437139795416902, 7.262309729829675
81000, -5.3630338524248815, 7.5696141380579105
82000, -5.4485762629911525, 7.1542560409770495
83000, -5.446799360311457, 7.178864012120968
84000, -5.45096314990983, 7.20923524035499
85000, -5.4382100292520645, 7.32091555756879
86000, -5.501042443304345, 7.0548153568256975
87000, -5.483445812908263, 7.076655182977836
88000, -5.437806269848999, 7.3520165551321925
89000, -5.4661019613104695, 7.2181837546253105
90000, -5.474097779695788, 7.14145173512829
91000, -5.45033137210591, 7.269070414912624
92000, -5.4809595909338515, 7.197518077529361
93000, -5.4879205809262706, 7.112159449531402
94000, -5.453746399593886, 7.246240171042944
95000, -5.487601465738131, 7.005493590661341
96000, -5.433578600925401, 7.284419880605115
97000, -5.488432937146618, 6.968761458472884
98000, -5.5428915915973604, 6.723519986253836
99000, -5.435587809471782, 7.335712980401851
