Step Number,Energy per particle,Pressure
0, -6.064260927191822, 3.7954633107077975
1000, -6.012704683006377, 3.9956596100077646
2000, -6.04777592196425, 3.839472228334907
3000, -6.072921839714907, 3.7156373453010447
4000, -6.065406727342932, 3.7582234963770293
5000, -6.120487407949881, 3.470740559136795
6000, -6.049134992856326, 3.821749151775901
7000, -6.107362363140203, 3.5308408951937214
8000, -6.067067707300692, 3.669174337999076
9000, -6.042104895608149, 3.7585208133027668
10000, -6.074117625941796, 3.6533871606106385
11000, -6.050241574461363, 3.7847816841794946
12000, -6.052185545970392, 3.7586613244049407
13000, -6.017338025313493, 3.9710092489642963
14000, -6.016960772711107, 3.918341597381996
15000, -6.068200095700814, 3.6477197369037286
16000, -6.04191930619279, 3.798253722028548
17000, -6.09345647004511, 3.598957305477957
18000, -6.0867593318480955, 3.6234594404733533
19000, -6.11911311328719, 3.430683842010438
20000, -6.098244777911462, 3.47504829428038
21000, -6.109444132129916, 3.39621766905982
22000, -6.116334570389387, 3.3920993709885834
23000, -6.129041921416932, 3.3549359713713924
24000, -6.106135295846775, 3.440330135913903
25000, -6.1671553475322884, 3.150630094523204
26000, -6.175616782266453, 3.0887453342663975
27000, -6.128535180309637, 3.283338641585239
28000, -6.158352864893044, 3.1220714237617386
29000, -6.1651560655061175, 3.0846341286349137
30000, -6.16054361647297, 3.1030661878269585
31000, -6.146529531118396, 3.1933073368415648
32000, -6.097952856215732, 3.4554911615886774
33000, -6.176227048700587, 3.115701977691173
34000, -6.179863734197155, 3.0402739560714545
35000, -6.107551614852844, 3.4098623001066217
36000, -6.11309288130595, 3.4223317489428693
37000, -6.065685980877836, 3.663422065827593
38000, -6.052813820574225, 3.7014039931537748
39000, -6.094705171787087, 3.4994880370183474
40000, -6.118214940468443, 3.3921536352048216
41000, -6.0919563026235295, 3.4758398144307994
42000, -6.124952142004038, 3.2932157625275753
43000, -6.146751712874058, 3.2414771348874476
44000, -6.154084218051122, 3.22668382112531
45000, -6.137240366960087, 3.3084257876630936
46000, -6.1578521893061415, 3.228360390354294
47000, -6.110741316058841, 3.4798884806055663
48000, -6.112347817154148, 3.476304490218647
49000, -6.110105555607946, 3.453000531156881
50000, -6.160011949409751, 3.20471628253368
51000, -6.18898236283371, 3.0497109029426794
52000, -6.198612516219582, 2.9881821101235753
53000, -6.171651993509863, 3.10068328216405
54000, -6.185134642616201, 3.0313631464695927
55000, -6.098488737855892, 3.446372819397077
56000, -6.169351362664142, 3.108673947969435
57000, -6.1488075167763965, 3.171659502229719
58000, -6.132542960282745, 3.3041798100250688
59000, -6.109602778320808, 3.4419913862872407
60000, -6.147492038437573, 3.260536711294543
61000, -6.146842663322531, 3.2774489042440407
62000, -6.164396473472905, 3.2330501989279923
63000, -6.114155883920218, 3.4606828146489317
64000, -6.12472221020552, 3.3512837889580016
65000, -6.1601711697331405, 3.1936393091253743
66000, -6.10502149463151, 3.4484496973187775
67000, -6.102010409849479, 3.4511293918116026
68000, -6.167554699710868, 3.150328119072918
69000, -6.076526888503949, 3.6118764752661425
70000, -6.145859585446163, 3.246207500893327
71000, -6.216589814792646, 2.8668026579966144
72000, -6.221189470835399, 2.8573952309384407
73000, -6.217110597472105, 2.8855737389364986
74000, -6.171084279580238, 3.0689438927826416
75000, -6.166368670070038, 3.1852922639990195
76000, -6.134935875223475, 3.316148884659129
77000, -6.170004394621237, 3.139120310153458
78000, -6.127333148875134, 3.327892230259152
79000, -6.124092815090236, 3.3338131822554984
80000, -6.1228279758256745, 3.337831011199483
81000, -6.11381039436678, 3.3888723511549763
82000, -6.164760964303724, 3.1510118391843447
83000, -6.20444940101317, 2.944148436247928
84000, -6.192471273603326, 2.98507569811632
85000, -6.212607196129693, 2.9360948491736925
86000, -6.210756226649876, 2.9158430651517855
87000, -6.15408805496355, 3.166997696592275
88000, -6.216236419020546, 2.919907451916074
89000, -6.198798649874666, 3.027655492953908
90000, -6.175971094079591, 3.059681156349597
91000, -6.123152305785513, 3.325311272585171
92000, -6.088969649631154, 3.481673122093487
93000, -6.080874425908775, 3.5100973575247556
94000, -6.146218830103052, 3.175241267052206
95000, -6.143722532603515, 3.1904535162700234
96000, -6.162136954451957, 3.13268860548727
97000, -6.203413223858625, 2.929284375162086
98000, -6.1623955441773175, 3.0991332204064164
99000, -6.163531641640828, 3.113774012928238
