Step Number,Energy per particle,Pressure
0, 40717290.270593904, 146585500.74288607
1000, 21251449.480505373, 76506527.51495102
2000, 20959910.91723882, 75456723.6695698
3000, 28203.087779357786, 101692.37942701761
4000, 4233.566485086986, 15337.152327274453
5000, 390.14717436963116, 1471.406524348094
6000, 249.3943148635849, 953.490482778923
7000, 87.33115016364158, 363.0745378009731
8000, 36.47769039047287, 175.14328250119377
9000, 25.65741543701084, 133.3357438260692
10000, 17.952581127662558, 103.1594079946399
11000, 9.668042507084198, 71.11101244509778
12000, 5.940794306803628, 56.18124787230873
13000, 3.422307817528914, 45.985940433083826
14000, 1.5167004894821021, 38.25535726399358
15000, -0.00836233998443482, 31.857970365593953
16000, -1.058711392945957, 27.48347146475165
17000, -1.7474978262957697, 24.476613460208764
18000, -2.3431173996908545, 21.88801972108447
19000, -2.7942135356234408, 19.81944161418121
20000, -3.2111620908079708, 18.001495925589577
21000, -3.5952810455865656, 16.20589251074959
22000, -3.8659805296451233, 15.013996820089057
23000, -4.106320761739023, 13.87393404081776
24000, -4.116733871674785, 13.76736260284473
25000, -4.3863021322103855, 12.513211217373719
26000, -4.507664098518155, 11.862837437343819
27000, -4.656506564405411, 11.174947291360958
28000, -4.698308514192893, 10.910475646103766
29000, -4.847033569896072, 10.215038176233971
30000, -4.906897987403739, 9.879297900186671
31000, -5.012585303516246, 9.331744098682165
32000, -5.087382746948506, 8.9868278068078
33000, -5.13780113709006, 8.75512662537106
34000, -5.21264780419024, 8.398042322592417
35000, -5.264083334483861, 8.149437132061488
36000, -5.263494078950339, 8.161986727307276
37000, -5.341236048259929, 7.779353733447935
38000, -5.444338082824854, 7.2216867519064
39000, -5.484907683052885, 6.976277358621306
40000, -5.475466941234666, 7.027121284917589
41000, -5.477966332899482, 6.99788968849401
42000, -5.533099500379225, 6.688186687864946
43000, -5.600519519119202, 6.333287667348389
44000, -5.607264120368908, 6.287102217913121
45000, -5.646243602597646, 6.065756577348231
46000, -5.659122164187546, 5.97295190321566
47000, -5.653235183592563, 6.028217913059468
48000, -5.655353307904732, 6.002109249517651
49000, -5.767185745042148, 5.39334751688267
50000, -5.749230509151603, 5.43547926048994
51000, -5.714275074726817, 5.588169997176397
52000, -5.741087051827535, 5.522523525906141
53000, -5.7216418856985305, 5.577676062450252
54000, -5.7496225475191665, 5.435041513521624
55000, -5.802566597596225, 5.200671741299606
56000, -5.771897334827044, 5.300639100155428
57000, -5.8452473609119915, 4.92463309216871
58000, -5.8446867804547695, 4.879692297591204
59000, -5.814893335823995, 5.034291517585217
60000, -5.840320991323288, 4.931928567039556
61000, -5.873200046001058, 4.787938097713426
62000, -5.857084882751503, 4.85047702023678
63000, -5.881479114424881, 4.715750511661966
64000, -5.914583566723628, 4.605367049225194
65000, -5.869834913997207, 4.826937490454776
66000, -5.869981205225706, 4.7893505734269235
67000, -5.941902230093299, 4.437020961679778
68000, -5.934673066600211, 4.526861991341938
69000, -5.933548240165735, 4.491925322074057
70000, -5.883839889913383, 4.705418817127947
71000, -5.935336422943988, 4.470145187291456
72000, -5.926401755483828, 4.476624544404268
73000, -5.937304716028563, 4.3540513674024615
74000, -5.991030364021499, 4.1389604405751195
75000, -6.012739445031853, 4.087180492503908
76000, -5.987177521999141, 4.214809770376454
77000, -5.935455083736392, 4.437303519588334
78000, -5.92234125747207, 4.526626988867866
79000, -5.930079975318794, 4.4584894513576305
80000, -5.976756053116355, 4.214959007482988
81000, -6.00704985834821, 4.091257392723755
82000, -5.920502721318839, 4.549530600989872
83000, -5.9396412981123365, 4.427700994467452
84000, -5.929449583085709, 4.490772620705358
85000, -5.949950268839065, 4.335656860979639
86000, -5.926947242812077, 4.443133733898812
87000, -5.913832173105962, 4.524819851087006
88000, -5.949389077228674, 4.380722108279647
89000, -5.907116799484217, 4.57729706119925
90000, -5.865226403900438, 4.747502878303763
91000, -5.8896711629806715, 4.614635908696767
92000, -5.986298901662348, 4.151758335228748
93000, -6.013762110918903, 4.01031067655596
94000, -6.022392422291702, 3.9830963435996796
95000, -6.056584816635521, 3.8471551340685703
96000, -6.028241789749592, 3.9920954285301393
97000, -5.995360198291631, 4.095789048405544
98000, -6.001327051816181, 4.058443532550464
99000, -6.064572171287963, 3.7941606059521065
